Keyword,Match Type,Campaign / List,Notes
"""license key free""",Phrase,All Campaigns,Free / Cracked (non-buyers)
activate free,Broad,All Campaigns,Free / Cracked (non-buyers)
"""activate free""",Phrase,All Campaigns,Free / Cracked (non-buyers)
thesis,Broad,All Campaigns,Education / Research (low purchase intent)
"""thesis""",Phrase,All Campaigns,Education / Research (low purchase intent)
dissertation,Broad,All Campaigns,Education / Research (low purchase intent)
"""dissertation""",Phrase,All Campaigns,Education / Research (low purchase intent)
essay,Broad,All Campaigns,Education / Research (low purchase intent)
"""essay""",Phrase,All Campaigns,Education / Research (low purchase intent)
homework,Broad,All Campaigns,Education / Research (low purchase intent)
"""homework""",Phrase,All Campaigns,Education / Research (low purchase intent)
assignment,Broad,All Campaigns,Education / Research (low purchase intent)
"""assignment""",Phrase,All Campaigns,Education / Research (low purchase intent)
what is,Broad,All Campaigns,Education / Research (low purchase intent)
"""what is""",Phrase,All Campaigns,Education / Research (low purchase intent)
definition,Broad,All Campaigns,Education / Research (low purchase intent)
"""definition""",Phrase,All Campaigns,Education / Research (low purchase intent)
how does,Broad,All Campaigns,Education / Research (low purchase intent)
"""how does""",Phrase,All Campaigns,Education / Research (low purchase intent)
history of,Broad,All Campaigns,Education / Research (low purchase intent)
"""history of""",Phrase,All Campaigns,Education / Research (low purchase intent)
wikipedia,Broad,All Campaigns,Education / Research (low purchase intent)
"""wikipedia""",Phrase,All Campaigns,Education / Research (low purchase intent)
research paper,Broad,All Campaigns,Education / Research (low purchase intent)
"""research paper""",Phrase,All Campaigns,Education / Research (low purchase intent)
academic,Broad,All Campaigns,Education / Research (low purchase intent)
"""academic""",Phrase,All Campaigns,Education / Research (low purchase intent)
news,Broad,All Campaigns,"News / General Info (informational, no purchase)"
"""news""",Phrase,All Campaigns,"News / General Info (informational, no purchase)"
latest news,Broad,All Campaigns,"News / General Info (informational, no purchase)"
"""latest news""",Phrase,All Campaigns,"News / General Info (informational, no purchase)"
update,Broad,All Campaigns,"News / General Info (informational, no purchase)"
"""update""",Phrase,All Campaigns,"News / General Info (informational, no purchase)"
announcement,Broad,All Campaigns,"News / General Info (informational, no purchase)"
"""announcement""",Phrase,All Campaigns,"News / General Info (informational, no purchase)"
press release,Broad,All Campaigns,"News / General Info (informational, no purchase)"
"""press release""",Phrase,All Campaigns,"News / General Info (informational, no purchase)"
stock,Broad,All Campaigns,"News / General Info (informational, no purchase)"
"""stock""",Phrase,All Campaigns,"News / General Info (informational, no purchase)"
ipo,Broad,All Campaigns,"News / General Info (informational, no purchase)"
"""ipo""",Phrase,All Campaigns,"News / General Info (informational, no purchase)"
funding,Broad,All Campaigns,"News / General Info (informational, no purchase)"
"""funding""",Phrase,All Campaigns,"News / General Info (informational, no purchase)"
valuation,Broad,All Campaigns,"News / General Info (informational, no purchase)"
"""valuation""",Phrase,All Campaigns,"News / General Info (informational, no purchase)"
scam,Broad,All Campaigns,Complaints (avoid negative sentiment)
"""scam""",Phrase,All Campaigns,Complaints (avoid negative sentiment)
fraud,Broad,All Campaigns,Complaints (avoid negative sentiment)
"""fraud""",Phrase,All Campaigns,Complaints (avoid negative sentiment)
fake,Broad,All Campaigns,Complaints (avoid negative sentiment)
"""fake""",Phrase,All Campaigns,Complaints (avoid negative sentiment)
legit,Broad,All Campaigns,Complaints (avoid negative sentiment)
"""legit""",Phrase,All Campaigns,Complaints (avoid negative sentiment)
safe,Broad,All Campaigns,Complaints (avoid negative sentiment)
"""safe""",Phrase,All Campaigns,Complaints (avoid negative sentiment)
dangerous,Broad,All Campaigns,Complaints (avoid negative sentiment)
"""dangerous""",Phrase,All Campaigns,Complaints (avoid negative sentiment)
hacked,Broad,All Campaigns,Complaints (avoid negative sentiment)
"""hacked""",Phrase,All Campaigns,Complaints (avoid negative sentiment)
data breach,Broad,All Campaigns,Complaints (avoid negative sentiment)
"""data breach""",Phrase,All Campaigns,Complaints (avoid negative sentiment)
privacy issue,Broad,All Campaigns,Complaints (avoid negative sentiment)
"""privacy issue""",Phrase,All Campaigns,Complaints (avoid negative sentiment)
cancelled,Broad,All Campaigns,Complaints (avoid negative sentiment)
"""cancelled""",Phrase,All Campaigns,Complaints (avoid negative sentiment)
photoshop,Broad,All Campaigns,Unrelated Tools
"""photoshop""",Phrase,All Campaigns,Unrelated Tools
microsoft word,Broad,All Campaigns,Unrelated Tools
"""microsoft word""",Phrase,All Campaigns,Unrelated Tools
excel,Broad,All Campaigns,Unrelated Tools
"""excel""",Phrase,All Campaigns,Unrelated Tools
google docs,Broad,All Campaigns,Unrelated Tools
"""google docs""",Phrase,All Campaigns,Unrelated Tools
powerpoint,Broad,All Campaigns,Unrelated Tools
"""powerpoint""",Phrase,All Campaigns,Unrelated Tools
gmail,Broad,All Campaigns,Unrelated Tools
"""gmail""",Phrase,All Campaigns,Unrelated Tools
outlook,Broad,All Campaigns,Unrelated Tools
"""outlook""",Phrase,All Campaigns,Unrelated Tools
slack,Broad,All Campaigns,Unrelated Tools
"""slack""",Phrase,All Campaigns,Unrelated Tools
zoom,Broad,All Campaigns,Unrelated Tools
"""zoom""",Phrase,All Campaigns,Unrelated Tools
tiktok,Broad,All Campaigns,Unrelated Tools
"""tiktok""",Phrase,All Campaigns,Unrelated Tools
instagram,Broad,All Campaigns,Unrelated Tools
"""instagram""",Phrase,All Campaigns,Unrelated Tools
facebook,Broad,All Campaigns,Unrelated Tools
"""facebook""",Phrase,All Campaigns,Unrelated Tools
youtube creator,Broad,All Campaigns,Unrelated Tools
"""youtube creator""",Phrase,All Campaigns,Unrelated Tools
customer service,Broad,All Campaigns,Support / Customer Service
"""customer service""",Phrase,All Campaigns,Support / Customer Service
support number,Broad,All Campaigns,Support / Customer Service
"""support number""",Phrase,All Campaigns,Support / Customer Service
help desk,Broad,All Campaigns,Support / Customer Service
"""help desk""",Phrase,All Campaigns,Support / Customer Service
refund,Broad,All Campaigns,Support / Customer Service
"""refund""",Phrase,All Campaigns,Support / Customer Service
cancel subscription,Broad,All Campaigns,Support / Customer Service
"""cancel subscription""",Phrase,All Campaigns,Support / Customer Service
contact,Broad,All Campaigns,Support / Customer Service
"""contact""",Phrase,All Campaigns,Support / Customer Service
phone number,Broad,All Campaigns,Support / Customer Service
"""phone number""",Phrase,All Campaigns,Support / Customer Service
github repo,Broad,All Campaigns,Coding / Technical for wrong audience
"""github repo""",Phrase,All Campaigns,Coding / Technical for wrong audience
open source,Broad,All Campaigns,Coding / Technical for wrong audience
"""open source""",Phrase,All Campaigns,Coding / Technical for wrong audience
self hosted,Broad,All Campaigns,Coding / Technical for wrong audience
"""self hosted""",Phrase,All Campaigns,Coding / Technical for wrong audience
docker,Broad,All Campaigns,Coding / Technical for wrong audience
"""docker""",Phrase,All Campaigns,Coding / Technical for wrong audience
kubernetes,Broad,All Campaigns,Coding / Technical for wrong audience
"""kubernetes""",Phrase,All Campaigns,Coding / Technical for wrong audience
api documentation,Broad,All Campaigns,Coding / Technical for wrong audience
"""api documentation""",Phrase,All Campaigns,Coding / Technical for wrong audience
sdk tutorial,Broad,All Campaigns,Coding / Technical for wrong audience
"""sdk tutorial""",Phrase,All Campaigns,Coding / Technical for wrong audience
