Type,Campaign,Ad Group,Match Type,Keyword / Ad Element,Value,Max CPC,Status,Final URL
Keyword,RankerToolAI - AI Tool Reviews,Surfer SEO Review,Phrase,surfer seo honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Surfer SEO Review,Phrase,best surfer seo plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Surfer SEO Review 2026,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 2,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Is Surfer SEO Worth It? (9.0/1,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 3,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Honest Surfer SEO Review,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 4,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Surfer SEO — Expert Score: 9.0,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 5,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,We Tested Surfer SEO for 100hr,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 6,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,"Surfer SEO Pros, Cons & Pricin",,,,https://rankertoolai.com/lp/surfer-seo/
Headline 7,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 8,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 9,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Try Surfer SEO Risk-Free,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 10,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Surfer SEO Free Trial Availabl,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 11,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 12,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Updated July 2026,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 13,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Is Surfer SEO Right For You?,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 14,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,See Full Surfer SEO Breakdown,,,,https://rankertoolai.com/lp/surfer-seo/
Headline 15,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Surfer SEO — Real User Rating,,,,https://rankertoolai.com/lp/surfer-seo/
Description 1,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,"We spent 100+ hours testing Surfer SEO. Score: 9.0/10. See full breakdown of features, pri",,,,
Description 2,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,"Independent Surfer SEO review by AI tool experts. No bias. Pros, cons, pricing — everythin",,,,
Description 3,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Compare Surfer SEO with alternatives. Updated weekly. Find the best AI tool for your needs,,,,
Description 4,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,"Surfer SEO review: who should use it, how much it costs, and whether it's worth the money ",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,Surfer SEO Review,,Surfer-SEO,,,,
Ad Group,RankerToolAI - AI Tool Reviews,Writesonic Review,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Writesonic Review,Exact,writesonic review,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Writesonic Review,Exact,writesonic reviews 2026,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Writesonic Review,Exact,is writesonic worth it,,2.2,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Writesonic Review,Exact,writesonic pros and cons,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Writesonic Review,Exact,writesonic pricing,,1.6,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Writesonic Review,Phrase,writesonic review,,1.5,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Writesonic Review,Phrase,writesonic honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Writesonic Review,Phrase,best writesonic plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,Writesonic Review,,Writesonic Review 2026,,,,https://rankertoolai.com/lp/writesonic/
Headline 2,RankerToolAI - AI Tool Reviews,Writesonic Review,,Is Writesonic Worth It? (8.7/1,,,,https://rankertoolai.com/lp/writesonic/
Headline 3,RankerToolAI - AI Tool Reviews,Writesonic Review,,Honest Writesonic Review,,,,https://rankertoolai.com/lp/writesonic/
Headline 4,RankerToolAI - AI Tool Reviews,Writesonic Review,,Writesonic — Expert Score: 8.7,,,,https://rankertoolai.com/lp/writesonic/
Headline 5,RankerToolAI - AI Tool Reviews,Writesonic Review,,We Tested Writesonic for 100hr,,,,https://rankertoolai.com/lp/writesonic/
Headline 6,RankerToolAI - AI Tool Reviews,Writesonic Review,,"Writesonic Pros, Cons & Pricin",,,,https://rankertoolai.com/lp/writesonic/
Headline 7,RankerToolAI - AI Tool Reviews,Writesonic Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/writesonic/
Headline 8,RankerToolAI - AI Tool Reviews,Writesonic Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/writesonic/
Headline 9,RankerToolAI - AI Tool Reviews,Writesonic Review,,Try Writesonic Risk-Free,,,,https://rankertoolai.com/lp/writesonic/
Headline 10,RankerToolAI - AI Tool Reviews,Writesonic Review,,Writesonic Free Trial Availabl,,,,https://rankertoolai.com/lp/writesonic/
Headline 11,RankerToolAI - AI Tool Reviews,Writesonic Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/writesonic/
Headline 12,RankerToolAI - AI Tool Reviews,Writesonic Review,,Updated July 2026,,,,https://rankertoolai.com/lp/writesonic/
Headline 13,RankerToolAI - AI Tool Reviews,Writesonic Review,,Is Writesonic Right For You?,,,,https://rankertoolai.com/lp/writesonic/
Headline 14,RankerToolAI - AI Tool Reviews,Writesonic Review,,See Full Writesonic Breakdown,,,,https://rankertoolai.com/lp/writesonic/
Headline 15,RankerToolAI - AI Tool Reviews,Writesonic Review,,Writesonic — Real User Rating,,,,https://rankertoolai.com/lp/writesonic/
Description 1,RankerToolAI - AI Tool Reviews,Writesonic Review,,"We spent 100+ hours testing Writesonic. Score: 8.7/10. See full breakdown of features, pri",,,,
Description 2,RankerToolAI - AI Tool Reviews,Writesonic Review,,"Independent Writesonic review by AI tool experts. No bias. Pros, cons, pricing — everythin",,,,
Description 3,RankerToolAI - AI Tool Reviews,Writesonic Review,,Compare Writesonic with alternatives. Updated weekly. Find the best AI tool for your needs,,,,
Description 4,RankerToolAI - AI Tool Reviews,Writesonic Review,,"Writesonic review: who should use it, how much it costs, and whether it's worth the money ",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,Writesonic Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,Writesonic Review,,Writesonic,,,,
Ad Group,RankerToolAI - AI Tool Reviews,Midjourney Review,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Midjourney Review,Exact,midjourney review,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Midjourney Review,Exact,midjourney reviews 2026,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Midjourney Review,Exact,is midjourney worth it,,2.2,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Midjourney Review,Exact,midjourney pros and cons,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Midjourney Review,Exact,midjourney pricing,,1.6,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Midjourney Review,Phrase,midjourney review,,1.5,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Midjourney Review,Phrase,midjourney honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Midjourney Review,Phrase,best midjourney plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,Midjourney Review,,Midjourney Review 2026,,,,https://rankertoolai.com/lp/midjourney/
Headline 2,RankerToolAI - AI Tool Reviews,Midjourney Review,,Is Midjourney Worth It? (9.1/1,,,,https://rankertoolai.com/lp/midjourney/
Headline 3,RankerToolAI - AI Tool Reviews,Midjourney Review,,Honest Midjourney Review,,,,https://rankertoolai.com/lp/midjourney/
Headline 4,RankerToolAI - AI Tool Reviews,Midjourney Review,,Midjourney — Expert Score: 9.1,,,,https://rankertoolai.com/lp/midjourney/
Headline 5,RankerToolAI - AI Tool Reviews,Midjourney Review,,We Tested Midjourney for 100hr,,,,https://rankertoolai.com/lp/midjourney/
Headline 6,RankerToolAI - AI Tool Reviews,Midjourney Review,,"Midjourney Pros, Cons & Pricin",,,,https://rankertoolai.com/lp/midjourney/
Headline 7,RankerToolAI - AI Tool Reviews,Midjourney Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/midjourney/
Headline 8,RankerToolAI - AI Tool Reviews,Midjourney Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/midjourney/
Headline 9,RankerToolAI - AI Tool Reviews,Midjourney Review,,Try Midjourney Risk-Free,,,,https://rankertoolai.com/lp/midjourney/
Headline 10,RankerToolAI - AI Tool Reviews,Midjourney Review,,Midjourney Free Trial Availabl,,,,https://rankertoolai.com/lp/midjourney/
Headline 11,RankerToolAI - AI Tool Reviews,Midjourney Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/midjourney/
Headline 12,RankerToolAI - AI Tool Reviews,Midjourney Review,,Updated July 2026,,,,https://rankertoolai.com/lp/midjourney/
Headline 13,RankerToolAI - AI Tool Reviews,Midjourney Review,,Is Midjourney Right For You?,,,,https://rankertoolai.com/lp/midjourney/
Headline 14,RankerToolAI - AI Tool Reviews,Midjourney Review,,See Full Midjourney Breakdown,,,,https://rankertoolai.com/lp/midjourney/
Headline 15,RankerToolAI - AI Tool Reviews,Midjourney Review,,Midjourney — Real User Rating,,,,https://rankertoolai.com/lp/midjourney/
Description 1,RankerToolAI - AI Tool Reviews,Midjourney Review,,"We spent 100+ hours testing Midjourney. Score: 9.1/10. See full breakdown of features, pri",,,,
Description 2,RankerToolAI - AI Tool Reviews,Midjourney Review,,"Independent Midjourney review by AI tool experts. No bias. Pros, cons, pricing — everythin",,,,
Description 3,RankerToolAI - AI Tool Reviews,Midjourney Review,,Compare Midjourney with alternatives. Updated weekly. Find the best AI tool for your needs,,,,
Description 4,RankerToolAI - AI Tool Reviews,Midjourney Review,,"Midjourney review: who should use it, how much it costs, and whether it's worth the money ",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,Midjourney Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,Midjourney Review,,Midjourney,,,,
Ad Group,RankerToolAI - AI Tool Reviews,ChatGPT Review,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ChatGPT Review,Exact,chatgpt review,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ChatGPT Review,Exact,chatgpt reviews 2026,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ChatGPT Review,Exact,is chatgpt worth it,,2.2,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ChatGPT Review,Exact,chatgpt pros and cons,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ChatGPT Review,Exact,chatgpt pricing,,1.6,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ChatGPT Review,Phrase,chatgpt review,,1.5,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ChatGPT Review,Phrase,chatgpt honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ChatGPT Review,Phrase,best chatgpt plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,ChatGPT Review,,ChatGPT Review 2026,,,,https://rankertoolai.com/lp/chatgpt/
Headline 2,RankerToolAI - AI Tool Reviews,ChatGPT Review,,Is ChatGPT Worth It? (8.8/10),,,,https://rankertoolai.com/lp/chatgpt/
Headline 3,RankerToolAI - AI Tool Reviews,ChatGPT Review,,Honest ChatGPT Review,,,,https://rankertoolai.com/lp/chatgpt/
Headline 4,RankerToolAI - AI Tool Reviews,ChatGPT Review,,ChatGPT — Expert Score: 8.8/10,,,,https://rankertoolai.com/lp/chatgpt/
Headline 5,RankerToolAI - AI Tool Reviews,ChatGPT Review,,We Tested ChatGPT for 100hrs,,,,https://rankertoolai.com/lp/chatgpt/
Headline 6,RankerToolAI - AI Tool Reviews,ChatGPT Review,,"ChatGPT Pros, Cons & Pricing",,,,https://rankertoolai.com/lp/chatgpt/
Headline 7,RankerToolAI - AI Tool Reviews,ChatGPT Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/chatgpt/
Headline 8,RankerToolAI - AI Tool Reviews,ChatGPT Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/chatgpt/
Headline 9,RankerToolAI - AI Tool Reviews,ChatGPT Review,,Try ChatGPT Risk-Free,,,,https://rankertoolai.com/lp/chatgpt/
Headline 10,RankerToolAI - AI Tool Reviews,ChatGPT Review,,ChatGPT Free Trial Available,,,,https://rankertoolai.com/lp/chatgpt/
Headline 11,RankerToolAI - AI Tool Reviews,ChatGPT Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/chatgpt/
Headline 12,RankerToolAI - AI Tool Reviews,ChatGPT Review,,Updated July 2026,,,,https://rankertoolai.com/lp/chatgpt/
Headline 13,RankerToolAI - AI Tool Reviews,ChatGPT Review,,Is ChatGPT Right For You?,,,,https://rankertoolai.com/lp/chatgpt/
Headline 14,RankerToolAI - AI Tool Reviews,ChatGPT Review,,See Full ChatGPT Breakdown,,,,https://rankertoolai.com/lp/chatgpt/
Headline 15,RankerToolAI - AI Tool Reviews,ChatGPT Review,,ChatGPT — Real User Rating,,,,https://rankertoolai.com/lp/chatgpt/
Description 1,RankerToolAI - AI Tool Reviews,ChatGPT Review,,"We spent 100+ hours testing ChatGPT. Score: 8.8/10. See full breakdown of features, pricin",,,,
Description 2,RankerToolAI - AI Tool Reviews,ChatGPT Review,,"Independent ChatGPT review by AI tool experts. No bias. Pros, cons, pricing — everything y",,,,
Description 3,RankerToolAI - AI Tool Reviews,ChatGPT Review,,Compare ChatGPT with alternatives. Updated weekly. Find the best AI tool for your needs at,,,,
Description 4,RankerToolAI - AI Tool Reviews,ChatGPT Review,,"ChatGPT review: who should use it, how much it costs, and whether it's worth the money in ",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,ChatGPT Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,ChatGPT Review,,ChatGPT,,,,
Ad Group,RankerToolAI - AI Tool Reviews,Cursor Review,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Cursor Review,Exact,cursor review,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Cursor Review,Exact,cursor reviews 2026,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Cursor Review,Exact,is cursor worth it,,2.2,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Cursor Review,Exact,cursor pros and cons,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Cursor Review,Exact,cursor pricing,,1.6,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Cursor Review,Phrase,cursor review,,1.5,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Cursor Review,Phrase,cursor honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Cursor Review,Phrase,best cursor plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,Cursor Review,,Cursor Review 2026,,,,https://rankertoolai.com/lp/cursor/
Headline 2,RankerToolAI - AI Tool Reviews,Cursor Review,,Is Cursor Worth It? (9.2/10),,,,https://rankertoolai.com/lp/cursor/
Headline 3,RankerToolAI - AI Tool Reviews,Cursor Review,,Honest Cursor Review,,,,https://rankertoolai.com/lp/cursor/
Headline 4,RankerToolAI - AI Tool Reviews,Cursor Review,,Cursor — Expert Score: 9.2/10,,,,https://rankertoolai.com/lp/cursor/
Headline 5,RankerToolAI - AI Tool Reviews,Cursor Review,,We Tested Cursor for 100hrs,,,,https://rankertoolai.com/lp/cursor/
Headline 6,RankerToolAI - AI Tool Reviews,Cursor Review,,"Cursor Pros, Cons & Pricing",,,,https://rankertoolai.com/lp/cursor/
Headline 7,RankerToolAI - AI Tool Reviews,Cursor Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/cursor/
Headline 8,RankerToolAI - AI Tool Reviews,Cursor Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/cursor/
Headline 9,RankerToolAI - AI Tool Reviews,Cursor Review,,Try Cursor Risk-Free,,,,https://rankertoolai.com/lp/cursor/
Headline 10,RankerToolAI - AI Tool Reviews,Cursor Review,,Cursor Free Trial Available,,,,https://rankertoolai.com/lp/cursor/
Headline 11,RankerToolAI - AI Tool Reviews,Cursor Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/cursor/
Headline 12,RankerToolAI - AI Tool Reviews,Cursor Review,,Updated July 2026,,,,https://rankertoolai.com/lp/cursor/
Headline 13,RankerToolAI - AI Tool Reviews,Cursor Review,,Is Cursor Right For You?,,,,https://rankertoolai.com/lp/cursor/
Headline 14,RankerToolAI - AI Tool Reviews,Cursor Review,,See Full Cursor Breakdown,,,,https://rankertoolai.com/lp/cursor/
Headline 15,RankerToolAI - AI Tool Reviews,Cursor Review,,Cursor — Real User Rating,,,,https://rankertoolai.com/lp/cursor/
Description 1,RankerToolAI - AI Tool Reviews,Cursor Review,,"We spent 100+ hours testing Cursor. Score: 9.2/10. See full breakdown of features, pricing",,,,
Description 2,RankerToolAI - AI Tool Reviews,Cursor Review,,"Independent Cursor review by AI tool experts. No bias. Pros, cons, pricing — everything yo",,,,
Description 3,RankerToolAI - AI Tool Reviews,Cursor Review,,Compare Cursor with alternatives. Updated weekly. Find the best AI tool for your needs at ,,,,
Description 4,RankerToolAI - AI Tool Reviews,Cursor Review,,"Cursor review: who should use it, how much it costs, and whether it's worth the money in 2",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,Cursor Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,Cursor Review,,Cursor,,,,
Campaign,RankerToolAI - AI Tool Comparisons,,,,,,Enabled,
Campaign Budget,RankerToolAI - AI Tool Comparisons,,,Daily Budget,6.0,,,
Ad Group,RankerToolAI - AI Tool Comparisons,ChatGPT vs Claude,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Comparisons,ChatGPT vs Claude,Exact,chatgpt vs claude,,2.5,Enabled,
