Type,Campaign,Ad Group,Match Type,Keyword / Ad Element,Value,Max CPC,Status,Final URL
Headline 3,RankerToolAI - AI Tool Reviews,SE Ranking Review,,Honest SE Ranking Review,,,,https://rankertoolai.com/lp/se-ranking/
Headline 4,RankerToolAI - AI Tool Reviews,SE Ranking Review,,SE Ranking — Expert Score: 8.5,,,,https://rankertoolai.com/lp/se-ranking/
Headline 5,RankerToolAI - AI Tool Reviews,SE Ranking Review,,We Tested SE Ranking for 100hr,,,,https://rankertoolai.com/lp/se-ranking/
Headline 6,RankerToolAI - AI Tool Reviews,SE Ranking Review,,"SE Ranking Pros, Cons & Pricin",,,,https://rankertoolai.com/lp/se-ranking/
Headline 7,RankerToolAI - AI Tool Reviews,SE Ranking Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/se-ranking/
Headline 8,RankerToolAI - AI Tool Reviews,SE Ranking Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/se-ranking/
Headline 9,RankerToolAI - AI Tool Reviews,SE Ranking Review,,Try SE Ranking Risk-Free,,,,https://rankertoolai.com/lp/se-ranking/
Headline 10,RankerToolAI - AI Tool Reviews,SE Ranking Review,,SE Ranking Free Trial Availabl,,,,https://rankertoolai.com/lp/se-ranking/
Headline 11,RankerToolAI - AI Tool Reviews,SE Ranking Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/se-ranking/
Headline 12,RankerToolAI - AI Tool Reviews,SE Ranking Review,,Updated July 2026,,,,https://rankertoolai.com/lp/se-ranking/
Headline 13,RankerToolAI - AI Tool Reviews,SE Ranking Review,,Is SE Ranking Right For You?,,,,https://rankertoolai.com/lp/se-ranking/
Headline 14,RankerToolAI - AI Tool Reviews,SE Ranking Review,,See Full SE Ranking Breakdown,,,,https://rankertoolai.com/lp/se-ranking/
Headline 15,RankerToolAI - AI Tool Reviews,SE Ranking Review,,SE Ranking — Real User Rating,,,,https://rankertoolai.com/lp/se-ranking/
Description 1,RankerToolAI - AI Tool Reviews,SE Ranking Review,,"We spent 100+ hours testing SE Ranking. Score: 8.5/10. See full breakdown of features, pri",,,,
Description 2,RankerToolAI - AI Tool Reviews,SE Ranking Review,,"Independent SE Ranking review by AI tool experts. No bias. Pros, cons, pricing — everythin",,,,
Description 3,RankerToolAI - AI Tool Reviews,SE Ranking Review,,Compare SE Ranking with alternatives. Updated weekly. Find the best AI tool for your needs,,,,
Description 4,RankerToolAI - AI Tool Reviews,SE Ranking Review,,"SE Ranking review: who should use it, how much it costs, and whether it's worth the money ",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,SE Ranking Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,SE Ranking Review,,SE-Ranking,,,,
Ad Group,RankerToolAI - AI Tool Reviews,beehiiv Review,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,beehiiv Review,Exact,beehiiv review,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,beehiiv Review,Exact,beehiiv reviews 2026,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,beehiiv Review,Exact,is beehiiv worth it,,2.2,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,beehiiv Review,Exact,beehiiv pros and cons,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,beehiiv Review,Exact,beehiiv pricing,,1.6,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,beehiiv Review,Phrase,beehiiv review,,1.5,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,beehiiv Review,Phrase,beehiiv honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,beehiiv Review,Phrase,best beehiiv plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,beehiiv Review,,beehiiv Review 2026,,,,https://rankertoolai.com/lp/beehiiv/
Headline 2,RankerToolAI - AI Tool Reviews,beehiiv Review,,Is beehiiv Worth It? (9.0/10),,,,https://rankertoolai.com/lp/beehiiv/
Headline 3,RankerToolAI - AI Tool Reviews,beehiiv Review,,Honest beehiiv Review,,,,https://rankertoolai.com/lp/beehiiv/
Headline 4,RankerToolAI - AI Tool Reviews,beehiiv Review,,beehiiv — Expert Score: 9.0/10,,,,https://rankertoolai.com/lp/beehiiv/
Headline 5,RankerToolAI - AI Tool Reviews,beehiiv Review,,We Tested beehiiv for 100hrs,,,,https://rankertoolai.com/lp/beehiiv/
Headline 6,RankerToolAI - AI Tool Reviews,beehiiv Review,,"beehiiv Pros, Cons & Pricing",,,,https://rankertoolai.com/lp/beehiiv/
Headline 7,RankerToolAI - AI Tool Reviews,beehiiv Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/beehiiv/
Headline 8,RankerToolAI - AI Tool Reviews,beehiiv Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/beehiiv/
Headline 9,RankerToolAI - AI Tool Reviews,beehiiv Review,,Try beehiiv Risk-Free,,,,https://rankertoolai.com/lp/beehiiv/
Headline 10,RankerToolAI - AI Tool Reviews,beehiiv Review,,beehiiv Free Trial Available,,,,https://rankertoolai.com/lp/beehiiv/
Headline 11,RankerToolAI - AI Tool Reviews,beehiiv Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/beehiiv/
Headline 12,RankerToolAI - AI Tool Reviews,beehiiv Review,,Updated July 2026,,,,https://rankertoolai.com/lp/beehiiv/
Headline 13,RankerToolAI - AI Tool Reviews,beehiiv Review,,Is beehiiv Right For You?,,,,https://rankertoolai.com/lp/beehiiv/
Headline 14,RankerToolAI - AI Tool Reviews,beehiiv Review,,See Full beehiiv Breakdown,,,,https://rankertoolai.com/lp/beehiiv/
Headline 15,RankerToolAI - AI Tool Reviews,beehiiv Review,,beehiiv — Real User Rating,,,,https://rankertoolai.com/lp/beehiiv/
Description 1,RankerToolAI - AI Tool Reviews,beehiiv Review,,"We spent 100+ hours testing beehiiv. Score: 9.0/10. See full breakdown of features, pricin",,,,
Description 2,RankerToolAI - AI Tool Reviews,beehiiv Review,,"Independent beehiiv review by AI tool experts. No bias. Pros, cons, pricing — everything y",,,,
Description 3,RankerToolAI - AI Tool Reviews,beehiiv Review,,Compare beehiiv with alternatives. Updated weekly. Find the best AI tool for your needs at,,,,
Description 4,RankerToolAI - AI Tool Reviews,beehiiv Review,,"beehiiv review: who should use it, how much it costs, and whether it's worth the money in ",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,beehiiv Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,beehiiv Review,,beehiiv,,,,
Ad Group,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ElevenLabs Review,Exact,elevenlabs review,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ElevenLabs Review,Exact,elevenlabs reviews 2026,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ElevenLabs Review,Exact,is elevenlabs worth it,,2.2,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ElevenLabs Review,Exact,elevenlabs pros and cons,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ElevenLabs Review,Exact,elevenlabs pricing,,1.6,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ElevenLabs Review,Phrase,elevenlabs review,,1.5,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ElevenLabs Review,Phrase,elevenlabs honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,ElevenLabs Review,Phrase,best elevenlabs plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,ElevenLabs Review 2026,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 2,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,Is ElevenLabs Worth It? (9.2/1,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 3,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,Honest ElevenLabs Review,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 4,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,ElevenLabs — Expert Score: 9.2,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 5,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,We Tested ElevenLabs for 100hr,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 6,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,"ElevenLabs Pros, Cons & Pricin",,,,https://rankertoolai.com/lp/elevenlabs/
Headline 7,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 8,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 9,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,Try ElevenLabs Risk-Free,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 10,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,ElevenLabs Free Trial Availabl,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 11,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 12,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,Updated July 2026,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 13,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,Is ElevenLabs Right For You?,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 14,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,See Full ElevenLabs Breakdown,,,,https://rankertoolai.com/lp/elevenlabs/
Headline 15,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,ElevenLabs — Real User Rating,,,,https://rankertoolai.com/lp/elevenlabs/
Description 1,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,"We spent 100+ hours testing ElevenLabs. Score: 9.2/10. See full breakdown of features, pri",,,,
Description 2,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,"Independent ElevenLabs review by AI tool experts. No bias. Pros, cons, pricing — everythin",,,,
Description 3,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,Compare ElevenLabs with alternatives. Updated weekly. Find the best AI tool for your needs,,,,
Description 4,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,"ElevenLabs review: who should use it, how much it costs, and whether it's worth the money ",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,ElevenLabs Review,,ElevenLabs,,,,
Ad Group,RankerToolAI - AI Tool Reviews,Pictory Review,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Pictory Review,Exact,pictory review,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Pictory Review,Exact,pictory reviews 2026,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Pictory Review,Exact,is pictory worth it,,2.2,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Pictory Review,Exact,pictory pros and cons,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Pictory Review,Exact,pictory pricing,,1.6,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Pictory Review,Phrase,pictory review,,1.5,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Pictory Review,Phrase,pictory honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Pictory Review,Phrase,best pictory plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,Pictory Review,,Pictory Review 2026,,,,https://rankertoolai.com/lp/pictory/
Headline 2,RankerToolAI - AI Tool Reviews,Pictory Review,,Is Pictory Worth It? (8.5/10),,,,https://rankertoolai.com/lp/pictory/
Headline 3,RankerToolAI - AI Tool Reviews,Pictory Review,,Honest Pictory Review,,,,https://rankertoolai.com/lp/pictory/
Headline 4,RankerToolAI - AI Tool Reviews,Pictory Review,,Pictory — Expert Score: 8.5/10,,,,https://rankertoolai.com/lp/pictory/
Headline 5,RankerToolAI - AI Tool Reviews,Pictory Review,,We Tested Pictory for 100hrs,,,,https://rankertoolai.com/lp/pictory/
Headline 6,RankerToolAI - AI Tool Reviews,Pictory Review,,"Pictory Pros, Cons & Pricing",,,,https://rankertoolai.com/lp/pictory/
Headline 7,RankerToolAI - AI Tool Reviews,Pictory Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/pictory/
Headline 8,RankerToolAI - AI Tool Reviews,Pictory Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/pictory/
Headline 9,RankerToolAI - AI Tool Reviews,Pictory Review,,Try Pictory Risk-Free,,,,https://rankertoolai.com/lp/pictory/
Headline 10,RankerToolAI - AI Tool Reviews,Pictory Review,,Pictory Free Trial Available,,,,https://rankertoolai.com/lp/pictory/
Headline 11,RankerToolAI - AI Tool Reviews,Pictory Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/pictory/
Headline 12,RankerToolAI - AI Tool Reviews,Pictory Review,,Updated July 2026,,,,https://rankertoolai.com/lp/pictory/
Headline 13,RankerToolAI - AI Tool Reviews,Pictory Review,,Is Pictory Right For You?,,,,https://rankertoolai.com/lp/pictory/
Headline 14,RankerToolAI - AI Tool Reviews,Pictory Review,,See Full Pictory Breakdown,,,,https://rankertoolai.com/lp/pictory/
Headline 15,RankerToolAI - AI Tool Reviews,Pictory Review,,Pictory — Real User Rating,,,,https://rankertoolai.com/lp/pictory/
Description 1,RankerToolAI - AI Tool Reviews,Pictory Review,,"We spent 100+ hours testing Pictory. Score: 8.5/10. See full breakdown of features, pricin",,,,
Description 2,RankerToolAI - AI Tool Reviews,Pictory Review,,"Independent Pictory review by AI tool experts. No bias. Pros, cons, pricing — everything y",,,,
Description 3,RankerToolAI - AI Tool Reviews,Pictory Review,,Compare Pictory with alternatives. Updated weekly. Find the best AI tool for your needs at,,,,
Description 4,RankerToolAI - AI Tool Reviews,Pictory Review,,"Pictory review: who should use it, how much it costs, and whether it's worth the money in ",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,Pictory Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,Pictory Review,,Pictory,,,,
Ad Group,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Wispr Flow Review,Exact,wispr flow review,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Wispr Flow Review,Exact,wispr flow reviews 2026,,2.0,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Wispr Flow Review,Exact,is wispr flow worth it,,2.2,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Wispr Flow Review,Exact,wispr flow pros and cons,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Wispr Flow Review,Exact,wispr flow pricing,,1.6,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Wispr Flow Review,Phrase,wispr flow review,,1.5,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Wispr Flow Review,Phrase,wispr flow honest review,,1.8,Enabled,
Keyword,RankerToolAI - AI Tool Reviews,Wispr Flow Review,Phrase,best wispr flow plan,,1.4,Enabled,
Headline 1,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Wispr Flow Review 2026,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 2,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Is Wispr Flow Worth It? (8.8/1,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 3,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Honest Wispr Flow Review,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 4,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Wispr Flow — Expert Score: 8.8,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 5,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,We Tested Wispr Flow for 100hr,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 6,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,"Wispr Flow Pros, Cons & Pricin",,,,https://rankertoolai.com/lp/wispr-flow/
Headline 7,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Unbiased AI Tool Reviews,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 8,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Expert-Tested AI Tools,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 9,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Try Wispr Flow Risk-Free,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 10,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Wispr Flow Free Trial Availabl,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 11,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,No Affiliate Bias,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 12,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Updated July 2026,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 13,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Is Wispr Flow Right For You?,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 14,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,See Full Wispr Flow Breakdown,,,,https://rankertoolai.com/lp/wispr-flow/
Headline 15,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Wispr Flow — Real User Rating,,,,https://rankertoolai.com/lp/wispr-flow/
Description 1,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,"We spent 100+ hours testing Wispr Flow. Score: 8.8/10. See full breakdown of features, pri",,,,
Description 2,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,"Independent Wispr Flow review by AI tool experts. No bias. Pros, cons, pricing — everythin",,,,
Description 3,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Compare Wispr Flow with alternatives. Updated weekly. Find the best AI tool for your needs,,,,
Description 4,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,"Wispr Flow review: who should use it, how much it costs, and whether it's worth the money ",,,,
Display URL Path 1,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Review,,,,
Display URL Path 2,RankerToolAI - AI Tool Reviews,Wispr Flow Review,,Wispr-Flow,,,,
Campaign,RankerToolAI - AI Tool Comparisons,,,,,,Enabled,
Campaign Budget,RankerToolAI - AI Tool Comparisons,,,Daily Budget,6.0,,,
Ad Group,RankerToolAI - AI Tool Comparisons,ChatGPT vs Claude,,,,,Enabled,
Keyword,RankerToolAI - AI Tool Comparisons,ChatGPT vs Claude,Exact,chatgpt vs claude,,2.5,Enabled,
Keyword,RankerToolAI - AI Tool Comparisons,ChatGPT vs Claude,Exact,claude vs chatgpt,,2.5,Enabled,
